productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extAttribute,extCounterplus,extLife
502975,Starter Deck 8: Monkey.D.Luffy,Starter Deck 8 MonkeyDLuffy,https://tcgplayer-cdn.tcgplayer.com/product/502975_200w.jpg,68,22956,https://cpt.tcgcsv.com/wc26,2023-08-11T04:03:08.34,1,10.0,19.65,75.0,18.71,,Normal,,,,,,,,,,,
502976,Starter Deck 8: Monkey.D.Luffy Display,Starter Deck 8 MonkeyDLuffy Display,https://tcgplayer-cdn.tcgplayer.com/product/502976_200w.jpg,68,22956,https://cpt.tcgcsv.com/xc26,2023-08-11T04:03:08.34,1,,,,,,,,,,,,,,,,,
502977,Starter Deck 8: Monkey.D.Luffy Display Case,Starter Deck 8 MonkeyDLuffy Display Case,https://tcgplayer-cdn.tcgplayer.com/product/502977_200w.jpg,68,22956,https://cpt.tcgcsv.com/zc26,2023-08-11T04:03:08.34,1,,,,,,,,,,,,,,,,,
503224,Shanks,Shanks,https://tcgplayer-cdn.tcgplayer.com/product/503224_200w.jpg,68,22956,https://cpt.tcgcsv.com/vj26,2023-08-11T04:03:08.34,1,0.39,1.23,25.0,1.23,,Foil,SR,ST08-005,[On Play] <strong>You may trash 1 card from your hand</strong>: K.O. all Characters with a cost of 1 or less.,Black,Character,9,10000,Red-Haired Pirates,Slash,,
503228,Higuma,Higuma,https://tcgplayer-cdn.tcgplayer.com/product/503228_200w.jpg,68,22956,https://cpt.tcgcsv.com/Bj26,2023-08-11T04:03:08.34,1,0.02,0.2,3.0,0.09,,Normal,C,ST08-008,[On Play] Give up to 1 of your opponent's Characters -2 cost during this turn.,Black,Character,1,2000,Mountain Bandits,Slash,1000,
503229,Koby,Koby,https://tcgplayer-cdn.tcgplayer.com/product/503229_200w.jpg,68,22956,https://cpt.tcgcsv.com/Cj26,2023-08-11T04:03:08.34,1,0.07,0.25,10.0,0.19,,Normal,C,ST08-004,[Activate:Main] <strong>You may rest this Character</strong>: K.O. up to 1 of your opponent's Characters with a cost of 2 or less.,Black,Character,4,1000,Navy,Strike,1000,
503230,Uta,Uta,https://tcgplayer-cdn.tcgplayer.com/product/503230_200w.jpg,68,22956,https://cpt.tcgcsv.com/Dj26,2023-08-11T04:03:08.34,1,0.4,1.38,50.0,1.04,,Foil,SR,ST08-002,"This Character cannot be K.O.'d in battle by Leaders.
<br>
[Activate:Main] <strong>You may rest this Character</strong>: Give up to 1 of your opponent's Characters -2 cost during this turn.",Black,Character,2,3000,FILM,Special,,
503231,Gum-Gum Bell,Gum Gum Bell,https://tcgplayer-cdn.tcgplayer.com/product/503231_200w.jpg,68,22956,https://cpt.tcgcsv.com/Fj26,2023-08-11T04:03:08.34,1,0.04,0.3,10.0,0.22,,Normal,C,ST08-014,"[Main] <strong>You may add 1 card from the top of your Life cards to your hand</strong>: Give up to 1 of your opponent's Characters -7 cost during this turn.
<br>
[Trigger] Add up to 1 black Character card with a cost of 2 or less from your trash to your hand.",Black,Event,2,,Straw Hat Crew,,,
503232,Nefeltari Vivi,Nefeltari Vivi,https://tcgplayer-cdn.tcgplayer.com/product/503232_200w.jpg,68,22956,https://cpt.tcgcsv.com/Gj26,2023-08-11T04:03:08.34,1,0.08,0.3,10.0,0.3,,Normal,C,ST08-007,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[Trigger] Play this card.",Black,Character,3,1000,Alabasta,Slash,1000,
503233,Monkey.D.Luffy (001),MonkeyDLuffy 001,https://tcgplayer-cdn.tcgplayer.com/product/503233_200w.jpg,68,22956,https://cpt.tcgcsv.com/Hj26,2023-08-11T04:03:08.34,1,4.99,6.0,25.0,5.41,,Foil,L,ST08-001,"[Your Turn] When a Character is K.O.'d, give up to 1 rested DON!! card to this Leader.",Black,Leader,,5000,Straw Hat Crew,Strike,,5
503234,Shirahoshi,Shirahoshi,https://tcgplayer-cdn.tcgplayer.com/product/503234_200w.jpg,68,22956,https://cpt.tcgcsv.com/Jj26,2023-08-11T04:03:08.34,1,0.44,0.94,25.0,0.72,,Normal,C,ST08-006,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em>
<br>
[On Play] Give up to 1 of your opponent's Characters -4 cost during this turn.",Black,Character,4,0,Merfolk,Wisdom,1000,
503235,Gum-Gum Pistol,Gum Gum Pistol,https://tcgplayer-cdn.tcgplayer.com/product/503235_200w.jpg,68,22956,https://cpt.tcgcsv.com/Kj26,2023-08-11T04:03:08.34,1,0.09,0.25,10.0,0.24,,Normal,C,ST08-015,"[Main] K.O. up to 1 of your opponent's Characters with a cost of 2 or less.
<br>
[Trigger] Draw 1 card.",Black,Event,3,,Straw Hat Crew,,,
503236,Monkey.D.Luffy (011),MonkeyDLuffy 011,https://tcgplayer-cdn.tcgplayer.com/product/503236_200w.jpg,68,22956,https://cpt.tcgcsv.com/Lj26,2023-08-11T04:03:08.34,1,0.1,0.25,1.53,0.23,,Normal,C,ST08-011,,Black,Character,3,5000,Straw Hat Crew,Strike,1000,
503237,Makino,Makino,https://tcgplayer-cdn.tcgplayer.com/product/503237_200w.jpg,68,22956,https://cpt.tcgcsv.com/Mj26,2023-08-11T04:03:08.34,1,0.05,0.2,3.0,0.12,,Normal,C,ST08-009,"[On Play] If there is a Character with a cost of 0, draw 1 card.",Black,Character,2,0,Windmill Village,Wisdom,2000,
503238,Mr.2.Bon.Kurei (Bentham),Mr2BonKurei Bentham,https://tcgplayer-cdn.tcgplayer.com/product/503238_200w.jpg,68,22956,https://cpt.tcgcsv.com/Nj26,2023-08-11T04:03:08.34,1,0.05,0.25,3.0,0.15,,Normal,C,ST08-013,"[DON!! x1] At the end of a battle in which this Character battles your opponent's Character, you may K.O. the opponent's Character you battled with. If you do, K.O. this Character.",Black,Character,5,6000,Former Baroque Works,Strike,,
503239,Laboon,Laboon,https://tcgplayer-cdn.tcgplayer.com/product/503239_200w.jpg,68,22956,https://cpt.tcgcsv.com/Pj26,2023-08-11T04:03:08.34,1,0.07,0.25,3.0,0.16,,Normal,C,ST08-012,,Black,Character,4,6000,Animal,Strike,1000,
503240,Gaimon,Gaimon,https://tcgplayer-cdn.tcgplayer.com/product/503240_200w.jpg,68,22956,https://cpt.tcgcsv.com/Qj26,2023-08-11T04:03:08.34,1,0.02,0.2,3.0,0.08,,Normal,C,ST08-003,,Black,Character,2,4000,East Blue,Wisdom,1000,
503241,Monkey.D.Garp,MonkeyDGarp,https://tcgplayer-cdn.tcgplayer.com/product/503241_200w.jpg,68,22956,https://cpt.tcgcsv.com/Rj26,2023-08-11T04:03:08.34,1,0.05,0.21,3.0,0.15,,Normal,C,ST08-010,,Black,Character,5,7000,Navy,Strike,1000,
