productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extNumber,extDescription,extColor,extCardType,extCost,extPower,extSubtypes,extCounterplus,extAttribute
586670,Royal Blood Booster Pack,Royal Blood Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/586670_200w.jpg,68,23766,https://cpt.tcgcsv.com/qHJ6,2025-03-21T04:10:14.857,1,6.45,8.95,10.99,8.89,,Normal,,,,,,,,,,
586671,Royal Blood Booster Box,Royal Blood Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/586671_200w.jpg,68,23766,https://cpt.tcgcsv.com/rHJ6,2025-03-24T16:17:48.367,1,238.01,277.0,499.99,239.06,,Normal,,,,,,,,,,
586673,Royal Blood Booster Box Case,Royal Blood Booster Box Case,https://tcgplayer-cdn.tcgplayer.com/product/586673_200w.jpg,68,23766,https://cpt.tcgcsv.com/tHJ6,2025-03-21T04:10:14.857,1,2599.97,2600.0,4800.0,2374.84,,Normal,,,,,,,,,,
617028,Charlotte Flampe (SP),Charlotte Flampe SP,https://tcgplayer-cdn.tcgplayer.com/product/617028_200w.jpg,68,23766,https://cpt.tcgcsv.com/BQX6,2025-03-21T04:10:14.857,1,65.0,98.97,150.0,60.5,,Foil,R,EB01-056,[On Play] <strong>You may add 1 card from the top or bottom of your Life cards to your hand</strong>: Draw 1 card.,Yellow,Character,1,1000,Big Mom Pirates,2000,Special
617029,Urouge (SP),Urouge SP,https://tcgplayer-cdn.tcgplayer.com/product/617029_200w.jpg,68,23766,https://cpt.tcgcsv.com/CQX6,2025-03-21T04:10:14.857,1,32.99,40.37,110.0,36.44,,Foil,R,OP07-021,"[Blocker] <em>(After your opponent declares an attack, you may rest this card to make it the new target of the attack.)</em><br>
[End of Your Turn] Set up to 1 of your DON!! cards as active.",Green,Character,4,5000,Fallen Monk Pirates;Supernovas,1000,Strike
617030,Smoker (001),Smoker 001,https://tcgplayer-cdn.tcgplayer.com/product/617030_200w.jpg,68,23766,https://cpt.tcgcsv.com/DQX6,2025-03-21T04:10:14.857,1,0.04,0.19,5.0,0.15,,Normal,L,OP10-001,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.<br>
[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",Green;Red,Leader,,5000,Navy;Punk Hazard,,Slash
617031,Smoker (001) (Parallel),Smoker 001 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617031_200w.jpg,68,23766,https://cpt.tcgcsv.com/FQX6,2025-03-21T04:10:14.857,1,16.49,20.91,50.0,16.9,,Foil,L,OP10-001,"[Opponent's Turn] All of your {Navy} or {Punk Hazard} type Characters gain +1000 power.<br>
[Activate: Main] [Once Per Turn] If you have a Character with 7000 power or more, set up to 2 of your DON!! cards as active.",Green;Red,Leader,,5000,Navy;Punk Hazard,,Slash
617032,Caesar Clown (002),Caesar Clown 002,https://tcgplayer-cdn.tcgplayer.com/product/617032_200w.jpg,68,23766,https://cpt.tcgcsv.com/GQX6,2025-03-21T04:10:14.857,1,0.01,0.15,5.0,0.1,,Normal,L,OP10-002,[DON!! x2] [When Attacking] <strong>You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand</strong>: K.O. up to 1 of your opponent's Characters with 4000 power or less.,Blue;Red,Leader,,5000,Punk Hazard;Scientist,,Special
617033,Caesar Clown (002) (Parallel),Caesar Clown 002 Parallel,https://tcgplayer-cdn.tcgplayer.com/product/617033_200w.jpg,68,23766,https://cpt.tcgcsv.com/HQX6,2025-03-21T04:10:14.857,1,8.74,11.0,50.0,8.82,,Foil,L,OP10-002,[DON!! x2] [When Attacking] <strong>You may return 1 of your {Punk Hazard} type Characters with a cost of 2 or more to the owner's hand</strong>: K.O. up to 1 of your opponent's Characters with 4000 power or less.,Blue;Red,Leader,,5000,Punk Hazard;Scientist,,Special
617034,Sugar (003),Sugar 003,https://tcgplayer-cdn.tcgplayer.com/product/617034_200w.jpg,68,23766,https://cpt.tcgcsv.com/JQX6,2025-03-21T04:10:14.857,1,0.01,0.15,5.0,0.12,,Normal,L,OP10-003,"[End of Your Turn] If you have a {Donquixote Pirates} type Character with 6000 power or more, set up to 1 of your DON!! cards as active.<br>
[Opponent's Turn] [Once Per Turn] When you activate an Event, add up to 1 DON!! card from your DON!! deck and set it as active.",Purple;Red,Leader,,5000,Donquixote Pirates,,Special
